Running,09/06/2021 19:33,FALSE,County Limerick - 3min Intervals x,5.76,398,00:33:08,150,170,2.8,166,177,05:45,04:33,34,33,1.04,0,0,--,--,0,0,0,--,--,--,00:00,26,00:00,No,01:30.0,11,0,00:33:07,00:36:23,-1,18
Running,08/06/2021 20:39,FALSE,County Limerick Running,5.01,366,00:29:59,148,161,2.9,164,170,05:59,05:31,39,37,1.02,0,0,--,--,0,0,0,--,--,--,00:00,22,00:00,No,00:02.6,6,0,00:29:58,00:29:59,11,38
Running,06/06/2021 17:16,FALSE,County Tipperary Running,10.01,656,01:00:40,145,160,2.4,165,170,06:04,05:23,25,19,1,0,0,--,--,0,0,0,--,--,--,00:00,24,00:00,No,00:01.8,11,0,01:00:35,01:00:52,89,96
Hiking,06/06/2021 10:30,FALSE,County Tipperary Hiking,4.38,222,00:57:00,88,137,0.8,100,158,13:00,02:59,132,156,0.77,0,0,--,--,0,0,0,--,--,--,00:00,24,00:00,No,56:59.6,1,0,00:56:00,01:24:53,197,333
Running,05/06/2021 14:58,FALSE,County Tipperary Running,5.18,399,00:30:43,156,186,3.2,166,172,05:56,05:12,4,4,1.02,0,0,--,--,0,0,0,--,--,--,00:00,23,00:00,No,01:03.2,6,0,00:30:42,00:31:13,96,103
Hiking,04/06/2021 18:28,FALSE,County Tipperary Hiking,4.12,272,00:52:06,99,144,0.7,102,160,12:38,09:42,114,119,0.78,0,0,--,--,0,0,0,--,--,--,00:00,25,00:00,No,52:05.7,1,0,00:51:40,00:53:26,49,119
Yoga,04/06/2021 13:39,FALSE,Yoga,0,35,00:19:23,68,101,0,--,--,--,--,--,--,0,0,0,--,--,0,0,0,--,--,--,00:00,27,00:00,No,19:23.2,1,0,00:00:00,00:19:23,--,--
Running,03/06/2021 19:20,FALSE,County Limerick Running,5.01,378,00:29:26,153,168,3,165,172,05:52,05:31,39,39,1.03,0,0,--,--,0,0,0,--,--,--,00:00,20,00:00,No,00:03.2,6,0,00:29:25,00:29:35,9,37
Yoga,03/06/2021 12:54,FALSE,Yoga,0,55,00:18:48,81,112,0.1,--,--,--,--,--,--,0,0,0,--,--,0,0,0,--,--,--,00:00,30,00:00,No,18:48.1,1,0,00:00:00,00:18:48,--,--
Running,02/06/2021 17:04,FALSE,County Limerick - 5x1min,5.01,391,00:29:55,157,177,3.2,164,177,05:58,05:05,25,24,1.02,0,0,--,--,0,0,0,--,--,--,00:00,24,00:00,No,01:00.0,14,0,00:29:53,00:29:55,2,20
Running,31/05/2021 16:48,FALSE,County Limerick Running,5.01,350,00:30:13,144,158,2.4,163,170,06:02,05:30,41,33,1.01,0,0,--,--,0,0,0,--,--,--,00:00,22,00:00,No,00:02.5,6,0,00:30:10,00:32:42,11,39
Running,30/05/2021 09:16,FALSE,County Limerick Running,14.01,1075,01:29:05,158,171,3.1,165,173,06:22,05:04,31,29,0.95,0,0,--,--,0,0,0,--,--,--,00:00,26,00:00,No,00:02.2,15,0,01:29:01,01:31:23,-4,15
Running,29/05/2021 19:40,FALSE,County Limerick Running,5.01,403,00:30:03,156,171,3.1,162,173,06:00,05:12,36,37,1.03,0,0,--,--,0,0,0,--,--,--,00:00,26,00:00,No,00:01.6,6,0,00:30:02,00:30:03,11,37
Hiking,28/05/2021 17:15,FALSE,County Limerick Hiking,13.97,699,02:26:03,97,135,0.6,114,132,10:27,08:30,300,301,0.84,0,0,--,--,0,0,0,--,--,--,00:00,23,00:00,No,26:03.1,1,0,02:25:48,02:26:03,160,355
Running,25/05/2021 18:52,FALSE,County Limerick Running,4.72,387,00:27:38,159,174,3.2,163,170,05:51,05:19,34,31,1.05,0,0,--,--,0,0,0,--,--,--,00:00,23,00:00,No,04:08.6,5,0,00:27:37,00:27:38,10,37
Cardio,18/05/2021 12:06,FALSE,Cardio,0,197,00:25:42,120,162,1.2,--,--,--,--,--,--,0,0,0,--,--,0,0,0,--,--,--,00:00,21,00:00,No,25:42.3,1,0,00:00:00,00:25:42,9,9
Running,17/05/2021 18:53,FALSE,County Limerick Running,4.01,284,00:23:47,144,165,2.2,163,173,05:56,05:23,31,18,1.03,0,0,--,--,0,0,0,--,--,--,00:00,19,00:00,No,00:02.6,5,0,00:23:46,00:30:27,11,38
Running,16/05/2021 19:59,FALSE,County Limerick - 30min Threshold,7.49,574,00:41:26,161,173,3.5,169,179,05:32,04:40,49,47,1.07,0,0,--,--,0,0,0,--,--,--,00:00,20,00:00,No,00:03.9,9,0,00:41:23,00:41:26,-1,36
Running,13/05/2021 18:49,FALSE,County Limerick Running,5.01,367,00:28:52,151,167,2.7,165,172,05:46,05:05,29,32,1.05,0,0,--,--,0,0,0,--,--,--,00:00,18,00:00,No,00:02.8,6,0,00:28:49,00:28:52,8,35
Yoga,12/05/2021 20:13,FALSE,Yoga,0,51,00:24:34,72,109,0,--,--,--,--,--,--,0,0,0,--,--,0,0,0,--,--,--,00:00,28,00:00,No,24:33.5,1,0,00:00:00,00:24:34,--,--
Running,11/05/2021 18:18,FALSE,County Limerick - 12x400m,12.02,789,01:07:22,153,174,3.2,169,189,05:36,04:09,57,57,1.05,0,0,--,--,0,0,0,--,--,--,00:00,19,00:00,No,01:30.0,29,0,01:07:17,01:11:50,2,19
Running,10/05/2021 20:39,FALSE,County Limerick Running,6.01,415,00:35:32,145,161,2.4,164,170,05:55,05:26,37,40,1.03,0,0,--,--,0,0,0,--,--,--,00:00,18,00:00,No,00:01.8,7,0,00:35:31,00:35:32,13,43
Running,09/05/2021 19:55,FALSE,County Limerick Running,14.01,974,01:22:59,155,176,3.1,166,173,05:55,05:07,87,92,1.02,0,0,--,--,0,0,0,--,--,--,00:00,19,00:00,No,00:03.8,15,0,01:22:55,01:22:59,-4,36
Yoga,07/05/2021 15:38,FALSE,Yoga,0,60,00:20:05,79,156,0.3,--,--,--,--,--,--,0,0,0,--,--,0,0,0,--,--,--,00:00,25,00:00,No,20:04.6,1,0,00:00:00,00:20:05,--,--
Running,06/05/2021 16:59,FALSE,County Limerick - 2x2km Threshold,8.49,593,00:48:15,153,170,3,166,175,05:41,05:05,51,50,1.06,0,0,--,--,0,0,0,--,--,--,00:00,17,00:00,No,00:02.2,10,0,00:48:13,00:48:15,6,36
Running,05/05/2021 17:11,FALSE,County Limerick Running,3.62,257,00:21:43,145,163,2.2,162,168,06:00,05:16,32,27,1.03,0,0,--,--,0,0,0,--,--,--,00:00,18,00:00,No,03:53.2,4,0,00:21:41,00:21:43,11,39
Yoga,05/05/2021 12:08,FALSE,Yoga,0,42,00:21:26,70,95,0,--,--,--,--,--,--,0,0,0,--,--,0,0,0,--,--,--,00:00,25,00:00,No,21:25.9,1,0,00:00:00,00:21:26,--,--
Running,04/05/2021 16:55,FALSE,County Limerick - 10x200m 90sec of,8.16,578,00:47:59,156,183,3,165,191,05:53,03:50,61,58,1.02,0,0,--,--,0,0,0,--,--,--,00:00,17,00:00,No,00:02.3,25,0,00:47:52,00:50:41,--,19
Cardio,04/05/2021 12:05,FALSE,Cardio,0,173,00:28:40,112,151,0.7,--,--,--,--,--,--,0,0,0,--,--,0,0,0,--,--,--,00:00,22,00:00,No,28:39.6,1,0,00:00:00,00:28:40,30,30
Trail Running,02/05/2021 08:23,FALSE,County Tipperary Trail Running,14.55,984,01:40:51,150,176,2.7,149,189,06:56,04:47,448,478,0.96,0,0,--,--,0,0,0,--,--,--,00:00,13,00:00,No,03:04.3,15,0,01:38:42,01:47:50,247,487
Running,01/05/2021 08:36,FALSE,County Limerick - 30min Threshold,9.64,722,00:54:14,161,178,3.5,167,175,05:37,04:59,53,60,1.07,0,0,--,--,0,0,0,--,--,--,00:00,18,00:00,No,00:03.9,11,0,00:54:11,00:56:50,--,18
Hiking,30/04/2021 17:02,FALSE,County Clare Hiking,10.88,810,02:20:50,111,161,2.2,101,159,12:56,08:40,515,518,0.77,0,0,--,--,0,0,0,--,--,--,00:00,18,00:00,No,20:50.2,1,0,02:14:04,02:28:19,25,527
Yoga,28/04/2021 13:02,FALSE,Yoga,0,47,00:31:09,63,96,0,--,--,--,--,--,--,0,0,0,--,--,0,0,0,--,--,--,00:00,26,00:00,No,31:08.5,1,0,00:00:00,00:31:09,--,--
